,batsman,matches,hard_hitting_ability,finisher,fast_scoring_ability,consistency,running_between_wickets
20,SR Watson,98,0.19497178040020524,0.1326530612244898,1.3483837865572088,30.91764705882353,0.5506692160611855
21,R Dravid,82,0.1548488008342023,0.06097560975609756,1.1334723670490094,28.233766233766232,0.5744286596664607
22,SE Marsh,69,0.18139048614741243,0.08695652173913043,1.3010977522216414,39.507936507936506,0.6038338658146964
23,MK Pandey,95,0.13782219884271435,0.17894736842105263,1.1693845344555498,28.5,0.6383628588882101
24,V Sehwag,104,0.24004364429896344,0.04807692307692308,1.4882705946535735,27.555555555555557,0.542713567839196
25,DR Smith,88,0.20077648363838047,0.045454545454545456,1.3227953410981697,28.392857142857142,0.48819444444444443
26,KA Pollard,112,0.1827956989247312,0.26785714285714285,1.4062126642771804,28.70731707317073,0.6096491228070176
27,MEK Hussey,58,0.15169902912621358,0.1206896551724138,1.1996359223300972,38.76470588235294,0.6244635193133047
28,JP Duminy,73,0.1230110159118727,0.3150684931506849,1.2197062423500613,39.86,0.7208653175157014
29,AC Gilchrist,80,0.21286173633440514,0.05,1.3305466237942123,27.223684210526315,0.4583333333333333
30,DPMD Jayawardene,78,0.15768725361366623,0.1794871794871795,1.187910643889619,28.25,0.5995316159250585
31,RA Jadeja,108,0.12482853223593965,0.3333333333333333,1.187928669410151,24.055555555555557,0.6974921630094044
32,MK Tiwary,79,0.13227146814404434,0.2911392405063291,1.1412742382271468,29.428571428571427,0.6453162530024019
33,KC Sangakkara,68,0.15589887640449437,0.04411764705882353,1.184691011235955,25.953846153846154,0.6203164029975021
34,NV Ojha,93,0.14749262536873156,0.20430107526881722,1.1452802359882006,20.986486486486488,0.5147058823529411
35,SPD Smith,62,0.14703675918979744,0.25806451612903225,1.2850712678169542,37.23913043478261,0.7379067722075637
36,SC Ganguly,56,0.13499245852187028,0.05357142857142857,1.0173453996983408,25.452830188679247,0.4790575916230366
37,AJ Finch,64,0.18031496062992125,0.078125,1.262992125984252,27.1864406779661,0.547550432276657
38,S Badrinath,65,0.1461847389558233,0.27692307692307694,1.157429718875502,30.659574468085108,0.6180620884289746
39,WP Saha,78,0.15340442986054142,0.21794871794871795,1.2772764561115668,25.524590163934427,0.6734496124031008
40,SV Samson,62,0.14506437768240343,0.0967741935483871,1.2240343347639484,25.464285714285715,0.6385542168674698
41,BJ Hodge,63,0.14310494362532525,0.3333333333333333,1.2142237640936686,33.333333333333336,0.6619433198380567
42,DA Miller,64,0.160352422907489,0.296875,1.377092511013216,34.733333333333334,0.7124868835257083
43,SS Tiwary,64,0.12421242124212421,0.296875,1.1485148514851484,28.355555555555554,0.6515930113052415
44,DJ Hussey,61,0.1362397820163488,0.19672131147540983,1.2007266121707538,26.979591836734695,0.6330178759200841
45,TM Dilshan,50,0.15663801337153774,0.14,1.1012416427889207,26.813953488372093,0.5084937712344281
46,F du Plessis,46,0.14189837008628955,0.06521739130434782,1.2416107382550337,30.11627906976744,0.7005586592178771
47,DJ Bravo,81,0.14534883720930233,0.32098765432098764,1.2228682170542635,22.945454545454545,0.6417233560090703
48,IK Pathan,82,0.12791878172588833,0.35365853658536583,1.16751269035533,21.69811320754717,0.6643356643356644
49,Mandeep Singh,58,0.16204690831556504,0.05172413793103448,1.185501066098081,20.21818181818182,0.5961783439490446
50,KK Nair,50,0.17330462863293863,0.08,1.2465016146393972,25.17391304347826,0.6023468057366362
51,LMP Simmons,29,0.17425968109339407,0.06896551724137931,1.2289293849658314,39.96296296296296,0.5227586206896552
52,Y Venugopal Rao,52,0.13179190751445086,0.15384615384615385,1.138728323699422,22.386363636363637,0.6066666666666667
53,LRPL Taylor,54,0.1322314049586777,0.25925925925925924,1.2007083825265643,25.425,0.6507503410641201
54,ML Hayden,32,0.1966626936829559,0.03125,1.3194278903456496,35.70967741935484,0.5326409495548962
55,HH Gibbs,36,0.13620071684587814,0.1111111111111111,1.058542413381123,27.6875,0.5096952908587258
56,A Symonds,36,0.147247119078105,0.25,1.2471190781049937,36.074074074074076,0.6486486486486487
57,GJ Maxwell,55,0.2282051282051282,0.10909090909090909,1.5756410256410256,25.081632653061224,0.5863787375415282
58,CL White,45,0.14728682170542637,0.2,1.2545219638242895,26.97222222222222,0.6651515151515152
59,MC Henriques,50,0.1482444733420026,0.32,1.2600780234070221,28.5,0.7007633587786259
60,KP Pietersen,36,0.17282321899736147,0.2222222222222222,1.3205804749340369,35.75,0.634185303514377
61,M Vohra,41,0.17333333333333334,0.04878048780487805,1.276,24.53846153846154,0.592891760904685
62,MS Bisla,39,0.15739484396200815,0.02564102564102564,1.0827679782903663,21.0,0.463768115942029
63,EJG Morgan,45,0.14620689655172414,0.1111111111111111,1.1779310344827587,21.35,0.5848142164781907
64,JA Morkel,67,0.16292134831460675,0.40298507462686567,1.3693820224719102,24.375,0.6728187919463087
65,MA Agarwal,48,0.16618497109826588,0.041666666666666664,1.176300578034682,17.695652173913043,0.5
66,GC Smith,29,0.14905933429811866,0.10344827586206896,1.069464544138929,28.423076923076923,0.5255102040816326
67,KM Jadhav,57,0.15350877192982457,0.3333333333333333,1.3055555555555556,23.5,0.7029360967184801
68,SS Iyer,32,0.16946564885496182,0.09375,1.2320610687022902,27.82758620689655,0.5496323529411765
69,STR Binny,56,0.1421647819063005,0.32142857142857145,1.2374798061389338,20.157894736842106,0.6704331450094162
70,AD Mathews,41,0.12186978297161936,0.24390243902439024,1.2086811352253757,23.35483870967742,0.7110266159695817
71,KL Rahul,30,0.14358108108108109,0.2,1.224662162162162,30.208333333333332,0.6646942800788954
72,Harbhajan Singh,82,0.19796954314720813,0.3780487804878049,1.3519458544839256,15.666666666666666,0.5253164556962026
73,AM Nayar,50,0.12755102040816327,0.24,1.1428571428571428,17.68421052631579,0.6484375
74,TL Suman,39,0.13798977853492334,0.1794871794871795,1.151618398637138,21.125,0.5928853754940712
75,ST Jayasuriya,30,0.21465968586387435,0.06666666666666667,1.3403141361256545,27.428571428571427,0.44097995545657015
76,Q de Kock,26,0.196113074204947,0.038461538461538464,1.2826855123674912,29.04,0.5286343612334802
77,GJ Bailey,36,0.14130434782608695,0.25,1.201086956521739,24.555555555555557,0.6603375527426161
78,AR Patel,42,0.12550607287449392,0.2857142857142857,1.2267206477732793,20.2,0.6990740740740741
79,M Manhas,38,0.10905349794238683,0.39473684210526316,1.0576131687242798,22.347826086956523,0.651270207852194
80,SA Yadav,42,0.15657620041753653,0.30952380952380953,1.269311064718163,20.96551724137931,0.6584158415841584
81,RS Bopara,22,0.11752136752136752,0.18181818181818182,1.1346153846153846,29.5,0.6755447941888619
82,PP Chawla,65,0.13704496788008566,0.35384615384615387,1.1027837259100643,12.261904761904763,0.5682382133995038
83,JD Ryder,29,0.1888412017167382,0.034482758620689655,1.296137339055794,21.571428571428573,0.5661375661375662
84,PC Valthaty,23,0.1875,0.043478260869565216,1.1689814814814814,22.954545454545453,0.4017094017094017
